"Timestamp","What's your Myers-Briggs type?"
"2015/11/18 7:53:46 AM PST","E N F J"
"2015/11/18 7:54:32 AM PST","E N T P"
"2015/11/18 8:11:41 AM PST","I N T J;I N T P"
"2015/11/18 8:17:30 AM PST","I N T J"
"2015/11/18 8:18:45 AM PST","“It's always something different"""
"2015/11/18 8:21:01 AM PST","E N T P"
"2015/11/18 8:25:25 AM PST","I N T J"
"2015/11/18 8:28:29 AM PST","I N F P"
"2015/11/18 8:46:35 AM PST","I N T J"
"2015/11/18 8:51:12 AM PST","“It's always something different"""
"2015/11/18 8:57:54 AM PST","I N T P"
"2015/11/18 8:58:35 AM PST","I N T J"
"2015/11/18 9:01:10 AM PST","I N T J"
"2015/11/18 9:01:55 AM PST","I N F P;I N T P"
"2015/11/18 9:03:43 AM PST","“It's always something different"""
"2015/11/18 9:21:34 AM PST","E N F J"
"2015/11/18 9:31:38 AM PST","I S F J"
"2015/11/18 9:58:19 AM PST","I N F P"
"2015/11/18 10:00:31 AM PST","I N T P"
"2015/11/18 10:02:24 AM PST","I N T J"
"2015/11/18 10:13:14 AM PST","I N T J"
"2015/11/18 10:20:31 AM PST","I S F J"
"2015/11/18 10:30:29 AM PST","I N F P"
"2015/11/18 10:36:50 AM PST","E N F P"
"2015/11/18 10:39:51 AM PST","I N F J"
"2015/11/18 10:51:10 AM PST","I N F J"
"2015/11/18 10:53:09 AM PST","I N T J"
"2015/11/18 10:58:03 AM PST","E S F J;E S F P;E S T J;E S T P"
"2015/11/18 11:05:12 AM PST","E N T J"
"2015/11/18 11:08:16 AM PST","I N T J"
"2015/11/18 11:23:18 AM PST","I N T J"
"2015/11/18 11:27:18 AM PST","I N F J"
"2015/11/18 11:45:52 AM PST","E N T J;“It's always something different"""
"2015/11/18 11:53:59 AM PST","I N T J"
"2015/11/18 12:16:55 PM PST","“It's always something different"""
"2015/11/18 12:22:56 PM PST","I S F P"
"2015/11/18 12:23:50 PM PST","I N T P"
"2015/11/18 12:25:39 PM PST","I N F J"
"2015/11/18 12:31:00 PM PST","E N F J;E N F P;E N T J;E N T P;E S F J;E S F P;E S T J;E S T P;I N F J;I N F P;I N T J;I N T P;I S F J;I S F P;I S T J;I S T P"
"2015/11/18 12:32:18 PM PST","I N T J"
"2015/11/18 12:36:05 PM PST","I S F J"
"2015/11/18 12:36:48 PM PST","I N F J;I N F P;“It's always something different"""
"2015/11/18 12:39:12 PM PST","I N T P"
"2015/11/18 12:42:06 PM PST","I N T J"
"2015/11/18 12:42:09 PM PST","I N F P"
"2015/11/18 12:51:14 PM PST","I N T J"
"2015/11/18 12:53:34 PM PST","“It's always something different"""
"2015/11/18 1:12:17 PM PST","I N T J"
"2015/11/18 1:14:27 PM PST","I N F J"
"2015/11/18 1:25:26 PM PST","I N T J"
"2015/11/18 1:26:32 PM PST","I S F J"
"2015/11/18 1:26:35 PM PST","I N F P"
"2015/11/18 1:35:13 PM PST","I N T P"
"2015/11/18 1:35:42 PM PST","I N T P"
"2015/11/18 1:39:13 PM PST","“It's always something different"""
"2015/11/18 1:39:41 PM PST","I N T J"
"2015/11/18 1:52:39 PM PST","I N T J"
"2015/11/18 1:57:39 PM PST","E N F P"
"2015/11/18 2:01:49 PM PST","I N T J"
"2015/11/18 2:48:37 PM PST","I N F J"
"2015/11/18 2:49:48 PM PST","I N T J"
"2015/11/18 2:52:24 PM PST","I N T P"
"2015/11/18 3:11:59 PM PST","I N T J"
"2015/11/18 3:12:34 PM PST","I N F J"
"2015/11/18 3:13:06 PM PST","I N F J"
"2015/11/18 3:39:31 PM PST","E S F J;“It's always something different"""
"2015/11/18 3:44:58 PM PST","I N T P"
"2015/11/18 3:48:46 PM PST","E S F P"
"2015/11/18 3:51:52 PM PST","“It's always something different"""
"2015/11/18 3:55:31 PM PST","I N F J;I N F P;I N T J;I N T P"
"2015/11/18 3:59:25 PM PST","I N T J"
"2015/11/18 4:03:04 PM PST","I N F P"
"2015/11/18 4:05:35 PM PST","I N T J;I S T J"
"2015/11/18 4:11:51 PM PST","I N T J"
"2015/11/18 4:25:01 PM PST","I N T P"
"2015/11/18 4:25:38 PM PST","E N F J"
"2015/11/18 4:36:48 PM PST","I N F P"
"2015/11/18 4:47:37 PM PST","I N T J"
"2015/11/18 4:49:20 PM PST","I N T P"
"2015/11/18 4:59:14 PM PST","I N F J"
"2015/11/18 5:23:10 PM PST","I N T J"
"2015/11/18 5:46:09 PM PST","I N T J"
"2015/11/18 5:46:17 PM PST","I N T J"
"2015/11/18 5:54:03 PM PST","E N F J"
"2015/11/18 6:02:50 PM PST","I N F J"
"2015/11/18 6:18:59 PM PST","I N T P"
"2015/11/18 6:38:26 PM PST","I N F P"
"2015/11/18 6:45:47 PM PST","I N F P"
"2015/11/18 6:48:29 PM PST","I N T P"
"2015/11/18 7:11:13 PM PST","I N T J"
"2015/11/18 7:15:13 PM PST","I N T J"
"2015/11/18 7:15:36 PM PST","I N F P"
"2015/11/18 7:17:18 PM PST","“It's always something different"""
"2015/11/18 7:19:14 PM PST","I N T J"
"2015/11/18 7:37:08 PM PST","I N T P"
"2015/11/18 7:49:47 PM PST","I N T P"
"2015/11/18 7:50:06 PM PST","I N T J"
"2015/11/18 7:55:32 PM PST","E N F P"
"2015/11/18 7:56:22 PM PST","I N T J"
"2015/11/18 8:04:45 PM PST","I S F J"
"2015/11/18 8:09:52 PM PST","I N F J"
"2015/11/18 8:14:38 PM PST","I N F P"
"2015/11/18 8:22:07 PM PST","I N T J"
"2015/11/18 8:32:52 PM PST","I N T J"
"2015/11/18 8:49:48 PM PST","I N F J"
"2015/11/18 9:42:43 PM PST","I N T J"
"2015/11/18 10:40:06 PM PST","I N T J"
"2015/11/18 10:45:54 PM PST","E N F J;I N F J"
"2015/11/18 11:44:36 PM PST","I N F P"
"2015/11/18 11:56:46 PM PST","“It's always something different"""
"2015/11/19 12:27:23 AM PST","I N F P"
"2015/11/19 12:42:35 AM PST","I N T P"
"2015/11/19 12:42:54 AM PST","I N F P"
"2015/11/19 1:19:45 AM PST","I N F J;I N F P;I N T J;I N T P;I S F J;I S F P;I S T J;I S T P;“It's always something different"""
"2015/11/19 1:29:52 AM PST","I N T P"
"2015/11/19 3:47:44 AM PST","I N T J"
"2015/11/19 3:52:20 AM PST","I N T P"
"2015/11/19 3:58:29 AM PST","“It's always something different"""
"2015/11/19 4:57:37 AM PST","I N T J"
"2015/11/19 5:50:33 AM PST","I N T P"
"2015/11/19 6:33:32 AM PST","E N T J"
"2015/11/19 6:55:25 AM PST","I N F J"
"2015/11/19 7:06:15 AM PST","“It's always something different"""
"2015/11/19 8:07:35 AM PST","I N F J"
"2015/11/19 8:29:20 AM PST","I N T J"
"2015/11/19 8:29:29 AM PST","I N T P"
"2015/11/19 9:12:05 AM PST","E N T P"
"2015/11/19 10:10:33 AM PST","E N F P"
"2015/11/19 10:11:32 AM PST","I N F J"
"2015/11/19 10:18:56 AM PST","I N T J"
